	CD8_T_EFFECTOR	IFNG_signature	TGFB_Mariathasan
12 Cystectomy	0.23796026470106113	0.39320415451655777	0.6774498839316346
19 TUR	0.49258220993512614	0.49777908291187345	0.7667564508369729
93 Cystectomy	0.6018720899523093	0.6983503641727457	0.7784504650699811
15 TUR	0.11550109111048137	0.2637868368630955	0.6193937820235753
72 Cystectomy	0.5050258761339731	0.5734701180693342	0.8126152835908221
13 TUR	0.3927595756687071	0.5407654187362091	0.7076563490548167
28 Cystectomy	0.1658621679711663	0.26442840733537437	0.5507664652113365
21 TUR	0.4276609510749375	0.5247788275536732	0.6930237585278779
41 TUR	0.21033306921775466	0.36343274204300824	0.5929550826411634
57 TUR	0.40055331846715964	0.5666011883633331	0.7775344729394655
53 Cystectomy	0.2595848474770366	0.38712180105895194	0.8902617164861508
11 TUR	0.5768382371625824	0.699973948733343	0.7682912840190896
9 Cystectomy	0.5023092644653637	0.6240426096839692	0.8340690933540944
3 TUR	0.6806616452052889	0.7803665970209057	0.8452973342402799
30 Cystectomy	0.8294939845771223	0.9036499029490185	0.7426998857503662
66 Cystectomy	0.4645862993214237	0.6039913987691037	0.7869228351949078
23 TUR	0.22041614345354307	0.4410302046133985	0.6606905805596243
13 Cystectomy	0.3993694189516255	0.5237416878349617	0.7883750678288859
5 Cystectomy	-0.012832841850410663	0.18392988767069116	0.8366686066883674
76 TUR	0.6474661607113341	0.6636579231036746	0.7719943534925031
89 Cystectomy	0.34417164707494186	0.5123454358310645	0.7865240605087772
11 Cystectomy	0.24945499431846505	0.39093541383325314	0.7162446555511878
93 TUR	0.31668535955679245	0.4916485691181787	0.6887802698874638
7 TUR	0.12285943366089006	0.33151620043504637	0.6592302316607966
50 Cystectomy	0.6013481764035817	0.7028127532064999	0.866247495044584
62 TUR	0.4650706208572575	0.5991690813412023	0.7465219696631356
12 TUR	0.3638025299712448	0.512085906490754	0.69142779104637
56 TUR	0.3356071730905599	0.5312361148847687	0.7942052206585005
45 TUR	0.2624946326365458	0.4088031430102192	0.8598657120134571
58 TUR	0.13100231733975712	0.31903512887772406	0.6449618793185505
54 TUR	0.24346719532415462	0.43053262936831976	0.8128830549898517
21 Cystectomy	0.2806686953696532	0.4191302556055749	0.8601600376359035
33 TUR	0.5910476867696277	0.6247380209276014	0.7293876987064805
57 Cystectomy	0.44668820896043615	0.5831791725617619	0.848730338132016
6 Cystectomy	0.3618720245570949	0.4844870137210801	0.8162614525367747
44 TUR	0.15223467920276845	0.3296388325370372	0.6914319043873773
65 Cystectomy	0.5840374825778001	0.7078515974330819	0.8327448814343418
58 Cystectomy	0.17041108023262683	0.3360935657674822	0.7682845146682612
72 TUR	0.48621874106453333	0.5543041871656335	0.7808402402780387
98 Cystectomy	0.6238141017231009	0.6761897880449532	0.8953518409451315
27 Cystectomy	0.5098759422841511	0.6575069424495844	0.7746964014914718
34 TUR	0.3606512910722731	0.49120792947271225	0.662418498031967
17 Cystectomy	0.5997183398645165	0.6813063075707984	0.8333461352136851
52 TUR	0.5271632587979769	0.6944737751671889	0.80707215161445
35 Cystectomy	0.23435982441802553	0.39681964126054453	0.7718887217826554
6 TUR	0.3380919186168447	0.5101403849169424	0.7719237787738091
R8 TUR	0.5232928296952466	0.602312026230314	0.8527577116585369
R33 Cystectomy	0.5831282752739263	0.6904145047245307	0.730782283667067
R30 Cystectomy	-0.09635009705098156	0.11783055550030204	0.8554763880677568
R3 TUR	0.2234691822727149	0.42581914703236745	0.7782064871211544
R15 TUR	0.05054482057901893	0.3103890432068038	0.743756237261738
R23 TUR	0.4408043970314809	0.5549675260126714	0.6030178975170364
R1 Cystectomy	0.017827503948752797	0.18011487456120553	0.8224390631793448
R17 Cystectomy	0.5039409572010856	0.6056319496909883	0.7447147440344709
R21 TUR	0.330720349361202	0.5682873628082092	0.8486022435443752
R26 TUR	0.3342243242041442	0.4401345838463805	0.7652500773241772
R5 TUR	0.2395267454727768	0.2917829910219617	0.6359149605068297
106 TUR	0.18962260235609896	0.4062311051264063	0.761860369351741
R29 Cystectomy	0.06509079165064963	0.31870810671745203	0.8135823749543397
R25 TUR	0.15832000663876394	0.34205889537789125	0.7370379436989373
R27 TUR	0.3086909332303311	0.43736452136121845	0.774781908449088
R9 Cystectomy	0.43213079600751486	0.5520323218695538	0.8162410305868454
R21 Cystectomy	0.5238819239660023	0.634660760414669	0.7568536383794129
R10 TUR	0.4581700714641095	0.6054826870546849	0.7287315054203624
R7 Cystectomy	0.8594695504304586	0.8460769048775023	0.708069778715789
R34 TUR	0.05506102041236291	0.3174136048482475	0.6487098297771725
107 TUR	0.541483794965567	0.7047832046784204	0.7072002475663751
R24 TUR	0.19259405765250773	0.3986622212036201	0.84808820961419
R9 TUR	0.11820326071478217	0.304190557437969	0.6491399170608485
R1 TUR	0.12330712072263887	0.36195734192724	0.6876319578509605
R20 Cystectomy	0.6393817684554854	0.7405187095341424	0.8051993176347497
108 TUR	0.314315670544016	0.4313292095096482	0.7316172693681746
R7 TUR	0.7653056689628182	0.7777010208608771	0.7154935726292363
106 Cystectomy	0.23737745748289826	0.40385614736159153	0.8718569134504394
107 Cystectomy	0.4624960723504856	0.5580010059307237	0.8204566030027746
108 Cystectomy	0.6645160989783918	0.7047831249947368	0.8294596135293756
R33 TUR	0.17778134616388025	0.38294055202399585	0.7221914940865042
105 TUR	-0.06719122424100517	0.15034229594896986	0.802331904908693
105 Cystectomy	0.06664399141210756	0.2764020610874991	0.8288821941294198
R28 Cystectomy	0.4208409600640459	0.5402272556947648	0.8275590774911796
R8 Cystectomy	0.3710043893959168	0.48888892717949656	0.8414494711491913
